Season,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,TOV%,ORB%,FT/FGA,ORtg,FG%,3P%,FT%
2000-2001,35.7,80.6,4.8,13.7,18.6,24.9,12,30.5,42.5,21.8,7.8,5.3,15,22.3,94.8,44.3,35.4,74.8,91.3,14.1,28.2,0.231,103,0.443,0.354,0.748
2001-2002,36.2,81.3,5.2,14.7,17.9,23.8,12.2,30.2,42.4,21.9,7.8,5.2,14.5,21.2,95.5,44.5,35.4,75.2,90.7,13.6,28.9,0.221,104.5,0.445,0.354,0.752
2002-2003,35.7,80.8,5.1,14.7,18.5,24.4,12,30.3,42.3,21.5,7.9,5,14.9,21.8,95.1,44.2,34.9,75.8,91,14,28.5,0.229,103.6,0.442,0.349,0.758
2003-2004,35,79.8,5.2,14.9,18.2,24.2,12.1,30.1,42.2,21.3,7.9,5.1,15,21.4,93.4,43.9,34.7,75.2,90.1,14.2,28.6,0.228,102.9,0.439,0.347,0.752
2004-2005,35.9,80.3,5.6,15.8,19.7,26.1,12,29.8,41.9,21.3,7.5,4.9,14.5,22.6,97.2,44.7,35.6,75.6,90.9,13.6,28.7,0.245,106.1,0.447,0.356,0.756
2005-2006,35.8,79,5.7,16,19.6,26.3,11.2,29.8,41,20.6,7.2,4.7,14.4,22.8,97,45.4,35.8,74.5,90.5,13.7,27.3,0.248,106.2,0.454,0.358,0.745
2006-2007,36.5,79.7,6.1,16.9,19.6,26.1,11.1,29.9,41.1,21.3,7.2,4.6,15.1,22.2,98.7,45.8,35.8,75.2,91.9,14.2,27.1,0.246,106.5,0.458,0.358,0.752
2007-2008,37.3,81.5,6.6,18.1,18.8,24.9,11.2,30.8,42,21.8,7.3,4.7,14.1,21,99.9,45.7,36.2,75.5,92.4,13.2,26.7,0.231,107.5,0.457,0.362,0.755
2008-2009,37.1,80.9,6.6,18.1,19.1,24.7,11,30.3,41.3,21,7.3,4.8,14,21,100,45.9,36.7,77.1,91.7,13.3,26.7,0.236,108.3,0.459,0.367,0.771
2009-2010,37.7,81.7,6.4,18.1,18.6,24.5,11,30.8,41.7,21.2,7.2,4.9,14.2,20.9,100.4,46.1,35.5,75.9,92.7,13.3,26.3,0.228,107.6,0.461,0.355,0.759
2010-2011,37.2,81.2,6.5,18,18.6,24.4,10.9,30.5,41.4,21.5,7.3,4.9,14.3,20.7,99.6,45.9,35.8,76.3,92.1,13.4,26.4,0.229,107.3,0.459,0.358,0.763
2011-2012,36.5,81.4,6.4,18.4,16.9,22.5,11.4,30.8,42.2,21,7.7,5.1,14.6,19.6,96.3,44.8,34.9,75.2,91.3,13.8,27,0.208,104.6,0.448,0.349,0.752
2012-2013,37.1,82,7.2,20,16.7,22.2,11.2,31,42.1,22.1,7.8,5.1,14.6,19.8,98.1,45.3,35.9,75.3,92,13.7,26.5,0.204,105.8,0.453,0.359,0.753
2013-2014,37.7,83,7.7,21.5,17.8,23.6,10.9,31.8,42.7,22,7.7,4.7,14.6,20.7,101,45.4,36,75.6,93.9,13.6,25.5,0.215,106.6,0.454,0.36,0.756
2014-2015,37.5,83.6,7.8,22.4,17.1,22.8,10.9,32.4,43.3,22,7.7,4.8,14.4,20.2,100,44.9,35,75,93.9,13.3,25.1,0.205,105.6,0.449,0.35,0.75
2015-2016,38.2,84.6,8.5,24.1,17.7,23.4,10.4,33.3,43.8,22.3,7.8,5,14.4,20.3,102.7,45.2,35.4,75.7,95.8,13.2,23.8,0.209,106.4,0.452,0.354,0.757
2016-2017,39,85.4,9.7,27,17.8,23.1,10.1,33.4,43.5,22.6,7.7,4.7,14,19.9,105.6,45.7,35.8,77.2,96.4,12.7,23.3,0.209,108.8,0.457,0.358,0.772
2017-2018,39.6,86.1,10.5,29,16.6,21.7,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3,46,36.2,76.7,97.3,13,22.3,0.193,108.6,0.46,0.362,0.767
2018-2019,41.1,89.2,11.4,32,17.7,23.1,10.3,34.8,45.2,24.6,7.6,5,14.1,20.9,111.2,46.1,35.5,76.6,100,12.4,22.9,0.198,110.4,0.461,0.355,0.766
2019-2020,40.9,88.8,12.2,34.1,17.9,23.1,10.1,34.8,44.8,24.4,7.6,4.9,14.5,20.8,111.8,46,35.8,77.3,100.3,12.8,22.5,0.201,110.6,0.46,0.358,0.773
2020-2021,41.2,88.4,12.7,34.6,17,21.8,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1,46.6,36.7,77.8,99.2,12.4,22.2,0.192,112.3,0.466,0.367,0.778
