Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0,2P%,FT%,FG%
Atlanta Hawks,40.8,87.2,46.8,12.4,33.4,37.3,28.4,53.9,52.6,19.7,24.2,81.2,10.6,35.1,45.6,24.1,7,4.8,13.2,19.3,113.7,0.373,0.526,0.812,0.468
Boston Celtics,41.5,88.9,46.6,13.6,36.4,37.4,27.9,52.5,53,16.1,20.8,77.5,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,0.374,0.53,0.775,0.466
Brooklyn Nets,43.1,87.3,49.4,14.2,36.1,39.2,29,51.2,56.5,18.1,22.5,80.4,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19,118.6,0.392,0.565,0.804,0.494
Charlotte Hornets,39.9,87.8,45.5,13.7,37,36.9,26.3,50.8,51.7,15.9,20.9,76.1,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18,109.5,0.369,0.517,0.761,0.455
Chicago Bulls,42.2,88.6,47.6,12.6,34,37,29.6,54.6,54.2,13.8,17.5,79.1,9.6,35.3,45,26.8,6.7,4.2,15.1,18.9,110.7,0.37,0.542,0.791,0.476
Cleveland Cavaliers,38.6,85.8,45,10,29.7,33.6,28.6,56,51,16.7,22.4,74.3,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,0.336,0.51,0.743,0.45
Dallas Mavericks,41.1,87.3,47,13.8,38.1,36.2,27.3,49.2,55.4,16.5,21.2,77.8,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,0.362,0.554,0.778,0.47
Denver Nuggets,43.3,89.2,48.5,12.9,34.2,37.7,30.4,55,55.2,15.7,19.5,80.3,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,0.377,0.552,0.803,0.485
Detroit Pistons,38.7,85.6,45.2,11.6,32.9,35.1,27.1,52.7,51.5,17.8,23.4,75.9,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6,0.351,0.515,0.759,0.452
Golden State Warriors,41.3,88.2,46.8,14.6,38.7,37.6,26.7,49.4,54.1,16.6,21.1,78.5,8,35.1,43,27.7,8.2,4.8,15,21.2,113.7,0.376,0.541,0.785,0.468
Houston Rockets,39.3,88.5,44.4,13.8,40.6,33.9,25.5,47.9,53.2,16.5,22.3,74,9.3,33.3,42.6,23.6,7.6,5,14.7,19.5,108.8,0.339,0.532,0.74,0.444
Indiana Pacers,43.3,91.2,47.4,12.3,34,36.4,30.9,57.3,54,16.4,20.7,79.2,9,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,0.364,0.54,0.792,0.474
Los Angeles Clippers,41.8,86.7,48.2,14.3,34.7,41.1,27.5,52,52.9,16.2,19.3,83.9,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114,0.411,0.529,0.839,0.482
Los Angeles Lakers,40.6,86.1,47.2,11.1,31.2,35.4,29.6,54.8,53.9,17.2,23.3,73.9,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5,0.354,0.539,0.739,0.472
Memphis Grizzlies,42.8,91.8,46.7,11.2,31.4,35.6,31.7,60.4,52.5,16.4,21.3,77.1,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3,0.356,0.525,0.771,0.467
